id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topics,difficulty,difficulty_score,estimated_time_seconds
cn-m-7,What does a firewall do?,Increases network speed,Monitors and filters incoming and outgoing network traffic based on security rules,Assigns IP addresses,Compresses network data,Monitors and filters incoming and outgoing network traffic based on security rules,A firewall inspects packets against a set of rules and decides whether to allow or block traffic — protecting networks from unauthorized access and attacks.,Computer Networks,medium,5,30
cn-h-1,How does TCP handle congestion control?,By dropping all packets,Through algorithms like Slow Start and Congestion Avoidance that dynamically adjust the sending rate,By using UDP instead,By increasing packet size,Through algorithms like Slow Start and Congestion Avoidance that dynamically adjust the sending rate,TCP starts with a small congestion window (slow start) doubling it each RTT until loss occurs. Then it switches to congestion avoidance (additive increase) and halves the window on loss (multiplicative decrease).,Computer Networks,hard,9,45
cn-h-2,What is the difference between distance-vector and link-state routing protocols?,They use the same algorithm,Distance-vector routers share routing tables with neighbors; link-state routers flood topology information to all routers,Distance-vector is faster,Link-state doesn't use IP,Distance-vector routers share routing tables with neighbors; link-state routers flood topology information to all routers,Distance-vector protocols (e.g. RIP) exchange distance tables with direct neighbors. Link-state protocols (e.g. OSPF) flood link-state advertisements so every router builds a complete topology map and runs Dijkstra.,Computer Networks,hard,9,45
cn-h-3,What is BGP and why is it called the 'protocol of the internet'?,A local area network protocol,The Border Gateway Protocol — it manages routing between autonomous systems that make up the internet,A type of encryption,A DNS replacement,The Border Gateway Protocol — it manages routing between autonomous systems that make up the internet,BGP is the exterior gateway protocol that enables autonomous systems (ISPs and large networks) to exchange reachability information — forming the global internet routing table.,Computer Networks,hard,9,50
cn-h-4,How does TLS (Transport Layer Security) establish a secure connection?,By hiding the IP address,Through a handshake that negotiates cipher suites exchanges certificates and derives session keys,By compressing all data,By using UDP instead of TCP,Through a handshake that negotiates cipher suites exchanges certificates and derives session keys,The TLS handshake includes: client hello → server hello + certificate → key exchange → session key derivation. This establishes an encrypted channel before application data flows.,Computer Networks,hard,9,45
cn-h-5,What is the count-to-infinity problem in distance-vector routing?,Routers count packets indefinitely,After a link failure routers slowly increment distance metrics through update loops before converging,Routers cannot count beyond 15 hops,It refers to infinite bandwidth,After a link failure routers slowly increment distance metrics through update loops before converging,When a link fails distance-vector protocols can enter a loop where routers keep incrementing the cost metric — converging very slowly. Solutions include split horizon and poison reverse.,Computer Networks,hard,8,40
cn-h-6,What is the purpose of the sliding window protocol in TCP?,To encrypt data in transit,To allow the sender to transmit multiple segments before requiring an acknowledgment improving throughput,To compress packets,To prioritize certain traffic,To allow the sender to transmit multiple segments before requiring an acknowledgment improving throughput,The sliding window allows multiple unacknowledged segments to be in flight. The window size adjusts based on receiver capacity (flow control) and network conditions (congestion control).,Computer Networks,hard,8,40
cn-h-7,How does an ARP spoofing attack work and what is its impact?,It floods the network with DNS requests,An attacker sends fake ARP replies to associate their MAC with a victim's IP enabling man-in-the-middle attacks,It overwrites the router firmware,It disables TCP connections,An attacker sends fake ARP replies to associate their MAC with a victim's IP enabling man-in-the-middle attacks,ARP has no authentication. An attacker can send unsolicited ARP replies mapping a legitimate IP to their own MAC — intercepting traffic intended for that IP.,Computer Networks,hard,9,45
oop-e-1,What is encapsulation in object-oriented programming?,Writing code in a capsule,Bundling data and methods that operate on that data into a single unit (class) and restricting direct access,A type of inheritance,A way to compile code,Bundling data and methods that operate on that data into a single unit (class) and restricting direct access,Encapsulation hides internal state behind methods — external code interacts through a public interface without knowing the implementation details.,OOP,easy,2,20
oop-e-2,What is inheritance in OOP?,A financial concept,A mechanism where a new class derives properties and behavior from an existing class,A type of loop,A memory management technique,A mechanism where a new class derives properties and behavior from an existing class,Inheritance allows a child class to reuse and extend the functionality of a parent class — promoting code reuse and hierarchical design.,OOP,easy,2,20
oop-e-3,What is polymorphism?,Having multiple variables,The ability of different classes to be treated through the same interface while behaving differently,A sorting algorithm,A type of database,The ability of different classes to be treated through the same interface while behaving differently,Polymorphism lets a method call behave differently depending on the object's actual type — e.g. calling draw() on a Circle vs. a Rectangle produces different results.,OOP,easy,3,25
oop-e-4,What is a class in OOP?,A running program,A blueprint for creating objects that defines attributes and methods,A type of variable,A database table,A blueprint for creating objects that defines attributes and methods,A class defines the structure (attributes) and behavior (methods) that its instances (objects) will have.,OOP,easy,1,15
oop-e-5,What is the difference between a class and an object?,They are the same thing,A class is a blueprint; an object is an instance of that class,A class runs faster,Objects cannot have methods,A class is a blueprint; an object is an instance of that class,A class defines the template. An object is a concrete instance created from that class with its own attribute values stored in memory.,OOP,easy,2,20
oop-e-6,What is a constructor?,A method that destroys objects,A special method called automatically when an object is created to initialize its state,A type of loop,A file handling function,A special method called automatically when an object is created to initialize its state,A constructor initializes the object's attributes when it is instantiated — e.g. __init__ in Python or the class-named method in Java/C++.,OOP,easy,2,20
oop-e-7,What does the 'this' (or 'self') keyword refer to in a method?,The class definition,The current instance of the class on which the method is called,The parent class,A global variable,The current instance of the class on which the method is called,"'this' (Java/C++) or 'self' (Python) refers to the specific object invoking the method — allowing access to its own attributes and other methods.",OOP,easy,2,20
oop-m-1,What is the difference between method overloading and method overriding?,They are the same concept,Overloading defines multiple methods with the same name but different parameters in the same class; overriding redefines a parent method in a child class,Overloading is faster,Overriding requires a new class name,Overloading defines multiple methods with the same name but different parameters in the same class; overriding redefines a parent method in a child class,Overloading is compile-time polymorphism (same method name different signatures). Overriding is runtime polymorphism (child replaces parent's method with its own implementation).,OOP,medium,5,30
oop-m-2,What is an abstract class?,A class with no methods,A class that cannot be instantiated and may contain abstract methods that subclasses must implement,A class that is automatically deleted,A final class,A class that cannot be instantiated and may contain abstract methods that subclasses must implement,Abstract classes define a contract — they can have both implemented and abstract (unimplemented) methods. Subclasses must provide implementations for the abstract methods.,OOP,medium,5,30
oop-m-3,What is the difference between an interface and an abstract class?,They are identical,An interface declares method signatures without implementation (prior to Java 8); an abstract class can include both implemented and abstract methods,Interfaces are faster,Abstract classes cannot be inherited,An interface declares method signatures without implementation (prior to Java 8); an abstract class can include both implemented and abstract methods,Interfaces define a pure contract. Abstract classes can share common code. A class can implement multiple interfaces but typically extends only one abstract class.,OOP,medium,6,35
oop-m-4,What is the SOLID principle 'Single Responsibility'?,A class should have only one method,A class should have only one reason to change,A variable should hold only one value,A function should have only one parameter,A class should have only one reason to change,The Single Responsibility Principle states each class should be responsible for one aspect of functionality — reducing coupling and making changes localized.,OOP,medium,6,35
oop-m-5,What is composition in OOP and how does it differ from inheritance?,Composition is the same as inheritance,Composition builds complex objects by containing instances of other classes rather than inheriting from them,Composition is slower,Composition only works with interfaces,Composition builds complex objects by containing instances of other classes rather than inheriting from them,Composition uses a 'has-a' relationship (a Car has an Engine) while inheritance uses an 'is-a' relationship (a Dog is an Animal). Composition is generally more flexible.,OOP,medium,5,30
oop-m-6,What is the purpose of access modifiers like public private and protected?,To speed up code execution,To control the visibility and accessibility of class members,To define data types,To manage memory allocation,To control the visibility and accessibility of class members,Access modifiers enforce encapsulation: private restricts access to the class itself protected adds access for subclasses and public allows access from anywhere.,OOP,medium,5,30
oop-m-7,What is a design pattern in OOP?,A way to format code,A reusable solution template for a commonly occurring software design problem,A type of algorithm,A database schema,A reusable solution template for a commonly occurring software design problem,Design patterns (like Singleton Factory Observer) provide proven approaches to recurring design challenges — they are not code but templates for how to structure solutions.,OOP,medium,6,35
oop-h-1,What is the Liskov Substitution Principle and why does violating it cause bugs?,Subclasses should always override all parent methods,Objects of a superclass should be replaceable with objects of a subclass without altering program correctness,It requires all classes to be abstract,It prevents method overriding,Objects of a superclass should be replaceable with objects of a subclass without altering program correctness,LSP means subclasses must honor the contract of their parent. Violating it (e.g. a Square subclass of Rectangle that breaks setWidth/setHeight expectations) causes subtle bugs when code uses the parent type.,OOP,hard,9,45
oop-h-2,What problem does the Dependency Inversion Principle solve?,Memory leaks,High-level modules depending on low-level implementation details making the system rigid,Slow compilation,Too many classes,High-level modules depending on low-level implementation details making the system rigid,DIP states that high-level modules should depend on abstractions not concretions. This allows swapping implementations (e.g. switching databases) without modifying business logic.,OOP,hard,9,45
oop-h-3,How does the Observer pattern work and when should it be used?,It observes CPU usage,Subjects maintain a list of observers and notify them of state changes — useful for event-driven architectures,It monitors network traffic,It replaces inheritance,Subjects maintain a list of observers and notify them of state changes — useful for event-driven architectures,The Observer pattern decouples event producers from consumers. When the subject's state changes all registered observers are automatically notified — used in GUIs event systems and reactive programming.,OOP,hard,8,40
oop-h-4,What is the diamond problem in multiple inheritance and how do languages solve it?,A performance issue with loops,Ambiguity when a class inherits from two classes that share a common ancestor — solved by virtual inheritance or interfaces,A database design problem,It only affects single inheritance,Ambiguity when a class inherits from two classes that share a common ancestor — solved by virtual inheritance or interfaces,If class D inherits from B and C which both inherit from A then D has two copies of A's members. C++ uses virtual inheritance; Java/C# avoid the problem by allowing only single class inheritance with multiple interfaces.,OOP,hard,9,45
oop-h-5,What is the difference between shallow copy and deep copy of an object?,Shallow copy is faster,A shallow copy duplicates the object but shares references to nested objects; a deep copy recursively duplicates all nested objects,Deep copy uses less memory,They produce identical results,A shallow copy duplicates the object but shares references to nested objects; a deep copy recursively duplicates all nested objects,With a shallow copy modifying a nested object in the copy also affects the original. Deep copy creates fully independent copies at all levels — important for mutable nested structures.,OOP,hard,8,40
oop-h-6,How does the Strategy pattern differ from the Template Method pattern?,They are identical,Strategy uses composition to swap entire algorithms at runtime; Template Method uses inheritance to let subclasses override specific steps,Strategy is slower,Template Method doesn't use classes,Strategy uses composition to swap entire algorithms at runtime; Template Method uses inheritance to let subclasses override specific steps,Strategy encapsulates algorithms as interchangeable objects (composition). Template Method defines a skeleton algorithm in a base class with hook methods that subclasses override (inheritance).,OOP,hard,9,45
oop-h-7,What is type erasure in Java generics and what are its implications?,Generics are erased at compile time,Generic type information is removed at runtime by the compiler — preventing runtime type checks on generic parameters,Generics are always preserved at runtime,Type erasure only affects primitive types,Generic type information is removed at runtime by the compiler — preventing runtime type checks on generic parameters,Java compiles generics by replacing type parameters with their bounds (usually Object) and inserting casts. This means you cannot do instanceof on generic types or create generic arrays at runtime.,OOP,hard,9,45
